state,region,craft_category,material,material_cost,labour_cost,labour_hours,product_size,complexity,current_market_price,demand_score,season_score,recommended_price
Uttar Pradesh,North,Pottery,Clay,434.61,1428.9,27.5,Large,3,2367.07,0.72,0.41,2370.26
Andhra Pradesh,South,Handloom Textile,Cotton,847.59,937.73,18.3,Large,1,2078.3,0.31,0.98,2082.67
Uttar Pradesh,North,Pottery,Terracotta,113.64,117.38,3.0,Small,1,256.45,0.67,0.6,274.98
Tamil Nadu,South,Handloom Textile,Cotton,237.17,414.01,10.1,Large,5,970.29,0.62,0.85,1042.39
Karnataka,South,Handloom Textile,Wool,617.63,173.61,3.6,Large,5,1282.45,0.42,0.35,1347.27
Gujarat,West,Handloom Textile,Silk,799.05,342.47,10.4,Large,3,1609.49,0.78,0.61,1733.25
Punjab,North,Wooden Toy,Wood,148.89,996.95,26.4,Large,4,1689.28,0.76,0.52,1810.95
Rajasthan,West,Metal Craft,Brass,114.7,623.07,11.7,Small,3,1196.19,0.96,0.93,1417.17
Tamil Nadu,South,Pottery,Terracotta,80.97,100.34,3.2,Small,3,234.86,0.53,0.57,251.75
Assam,Northeast,Stone Carving,Soapstone,174.86,189.75,4.1,Small,4,400.48,0.4,0.86,437.71
West Bengal,East,Pottery,Terracotta,320.29,96.53,3.2,Small,5,664.98,0.87,0.79,757.55
Telangana,South,Stone Carving,Marble,182.2,398.37,11.9,Large,1,724.77,0.9,0.74,764.99
Karnataka,South,Handloom Textile,Silk,158.84,238.69,4.6,Small,2,529.69,0.75,0.92,558.45
Assam,Northeast,Pottery,Terracotta,479.42,702.57,15.0,Medium,4,1602.49,0.84,0.65,1733.45
Uttar Pradesh,North,Stone Carving,Marble,94.23,108.3,3.5,Medium,3,277.97,0.75,0.52,309.03
Andhra Pradesh,South,Metal Craft,Bronze,329.41,695.2,13.2,Large,1,1125.6,0.46,0.35,1091.86
Odisha,East,Bamboo Craft,Bamboo,375.39,485.12,9.9,Small,4,1173.96,0.91,0.86,1369.46
Gujarat,West,Metal Craft,Bronze,573.05,1348.12,23.7,Large,5,2932.75,0.52,0.38,2962.78
Andhra Pradesh,South,Stone Carving,Marble,336.31,317.19,10.5,Small,1,749.22,0.66,0.59,759.73
Punjab,North,Stone Carving,Soapstone,269.06,722.47,18.2,Medium,1,1113.44,0.66,0.79,1256.32
Andhra Pradesh,South,Stone Carving,Marble,928.46,404.26,9.0,Large,4,1749.29,0.51,0.5,1816.83
Gujarat,West,Painting,Canvas,361.5,95.9,2.5,Medium,2,628.79,0.94,0.47,684.62
Andhra Pradesh,South,Metal Craft,Bronze,947.95,441.44,8.8,Large,4,2277.32,0.83,0.47,2409.24
Odisha,East,Jewelry,Beads,271.31,368.59,8.0,Small,2,671.16,0.36,0.88,670.62
West Bengal,East,Painting,Canvas,64.27,377.45,7.5,Small,1,414.74,0.31,0.66,424.8
Kerala,South,Bamboo Craft,Cane,266.47,857.0,20.6,Large,1,1426.94,0.96,0.4,1486.69
Gujarat,West,Jewelry,Terracotta,597.83,641.55,17.0,Medium,5,2153.83,0.76,0.87,2369.19
Telangana,South,Wooden Toy,Wood,323.16,278.89,4.9,Large,5,1001.32,0.93,0.74,1095.51
Punjab,North,Metal Craft,Bronze,486.54,985.06,17.4,Medium,1,1643.32,0.85,0.75,1742.63
Telangana,South,Jewelry,Silver,583.19,372.39,12.3,Medium,1,964.7,0.37,0.76,953.68
Madhya Pradesh,Central,Metal Craft,Bronze,242.06,426.21,8.6,Small,5,821.97,0.46,0.8,841.49
Tamil Nadu,South,Metal Craft,Bronze,747.05,1087.34,19.6,Large,5,2778.23,0.76,0.7,2963.41
Andhra Pradesh,South,Bamboo Craft,Cane,142.82,219.0,3.7,Small,5,579.65,0.58,0.92,641.14
Punjab,North,Wooden Toy,Bamboo,361.48,528.35,11.8,Medium,1,923.96,0.44,0.81,912.71
Tamil Nadu,South,Stone Carving,Soapstone,275.92,168.82,2.9,Small,1,569.54,0.97,0.94,613.29
Andhra Pradesh,South,Pottery,Clay,899.79,808.3,13.7,Large,4,2672.25,0.97,0.9,2988.68
Assam,Northeast,Pottery,Clay,347.9,157.88,4.5,Small,4,680.59,0.69,0.96,749.48
