state,category,material,material_cost,labor_hours,state_labor_rate,labor_cost,complexity,quality,demand_level,demand_factor,total_cost,market_price,recommended_price
West Bengal,Handmade Jewelry,Silver,1251.17,2.4,78.87,189.29,4,1,High,1.1,1440.46,2122.77,2333.07
West Bengal,Textile Craft,Silk,476.95,6.8,53.7,365.16,2,1,Very High,1.2,842.11,1333.16,1326.29
West Bengal,Textile Craft,Wool,164.58,6.4,65.3,417.92,4,2,Low,0.9,582.5,918.33,792.11
Odisha,Home Decor,Cotton,288.43,9.5,54.9,521.55,3,5,Very High,1.2,809.98,973.59,1213.08
West Bengal,Pottery,Terracotta,108.43,4.5,75.18,338.31,2,5,High,1.1,446.74,654.66,639.0
Rajasthan,Pottery,Terracotta,163.63,5.3,73.61,390.13,1,1,Low,0.9,553.76,760.45,661.93
Karnataka,Wood Craft,Wood,195.57,10.0,56.59,565.9,3,1,High,1.1,761.47,1093.02,1089.71
Tamil Nadu,Bamboo Toy,Cane,67.02,6.1,67.9,414.19,1,1,High,1.1,481.21,676.94,645.53
Rajasthan,Bamboo Craft,Cane,80.88,8.6,60.5,520.3,1,1,Very High,1.2,601.18,646.08,756.21
Telangana,Textile Craft,Wool,374.53,10.3,66.13,681.14,2,4,High,1.1,1055.67,1754.21,1635.12
Kerala,Wooden Toy,Bamboo,54.51,8.9,86.16,766.82,4,4,High,1.1,821.33,1194.74,1202.17
Gujarat,Wood Craft,Bamboo,69.72,5.4,58.18,314.17,5,5,Medium,1.0,383.89,590.82,588.55
Rajasthan,Metal Craft,Brass,256.59,6.1,50.39,307.38,5,5,Low,0.9,563.97,817.97,774.65
West Bengal,Clay/Terracotta Toy,Terracotta,75.11,2.9,58.82,170.58,5,5,Low,0.9,245.69,406.47,350.39
Uttar Pradesh,Pottery,Clay,43.32,3.3,46.6,153.78,4,4,Low,0.9,197.1,296.89,269.53
Karnataka,Clay/Terracotta Toy,Terracotta,89.96,4.0,84.34,337.36,2,5,Very High,1.2,427.32,643.45,704.33
Kerala,Textile Craft,Silk,451.88,10.5,80.99,850.39,3,1,Medium,1.0,1302.28,1744.44,1707.02
Karnataka,Metal Craft,Brass,401.14,12.7,72.57,921.64,4,3,Medium,1.0,1322.78,2190.27,2080.52
Gujarat,Wood Craft,Bamboo,240.76,10.4,60.65,630.76,5,3,Medium,1.0,871.52,1128.82,1197.53
Telangana,Home Decor,Cotton,254.31,4.5,77.44,348.48,2,1,Medium,1.0,602.79,682.08,734.14
Rajasthan,Textile Craft,Cotton,213.36,3.4,46.49,158.07,3,4,Low,0.9,371.43,462.18,456.61
Kerala,Wood Craft,Wood,361.4,4.3,71.1,305.73,2,5,Very High,1.2,667.13,869.24,995.99
Karnataka,Home Decor,Bamboo,137.97,6.2,69.26,429.41,2,2,High,1.1,567.38,781.15,853.49
West Bengal,Wood Craft,Wood,241.45,7.2,50.16,361.15,4,3,Medium,1.0,602.6,992.38,951.45
Kerala,Bamboo Toy,Cane,110.13,2.5,80.27,200.67,1,5,Low,0.9,310.8,430.8,382.05
Uttar Pradesh,Clay/Terracotta Toy,Terracotta,48.31,5.1,59.01,300.95,3,1,High,1.1,349.26,429.84,475.7
Gujarat,Bamboo Craft,Bamboo,145.13,10.5,75.26,790.23,3,4,Low,0.9,935.36,1439.06,1313.69
Tamil Nadu,Home Decor,Clay,154.72,13.7,78.34,1073.26,3,4,High,1.1,1227.98,1798.96,1830.0
West Bengal,Bamboo Craft,Bamboo,118.93,8.6,73.5,632.1,4,4,High,1.1,751.03,1195.46,1138.69
Odisha,Pottery,Clay,52.24,6.6,46.47,306.7,1,2,Low,0.9,358.94,541.73,463.51
Odisha,Bamboo Craft,Cane,149.42,9.0,63.22,568.98,1,3,Very High,1.2,718.4,873.2,1015.63
Gujarat,Wood Craft,Wood,161.45,11.4,67.76,772.46,1,3,Very High,1.2,933.91,1012.0,1259.82
Tamil Nadu,Textile Craft,Cotton,116.52,10.6,68.2,722.92,2,2,Very High,1.2,839.44,963.82,1201.29
Karnataka,Wooden Toy,Bamboo,89.4,8.3,59.57,494.43,2,3,Medium,1.0,583.83,791.41,756.02
Kerala,Bamboo Craft,Cane,227.0,10.5,60.52,635.46,5,2,Medium,1.0,862.46,1261.22,1200.44
Kerala,Home Decor,Cotton,165.94,11.4,70.67,805.64,4,3,Low,0.9,971.58,1488.47,1378.61
Gujarat,Metal Craft,Iron,335.18,15.8,83.51,1319.46,4,5,Low,0.9,1654.64,2923.11,2536.27
Andhra Pradesh,Handmade Jewelry,Copper,357.83,7.7,69.62,536.07,1,2,High,1.1,893.9,1206.71,1351.79
